"Ranking","Team","Rating"
1,"Villanova",3.40600768627007
2,"Michigan_St",3.3336173305191
3,"Purdue",3.30448837707116
4,"Virginia",3.07754717134036
5,"Duke",3.03926612944792
6,"Cincinnati",2.82547096919479
7,"Kansas",2.82350951268545
8,"North_Carolina",2.75201145188204
9,"Texas_Tech",2.73312159039183
10,"Gonzaga",2.680748224438
11,"West_Virginia",2.55141118513017
12,"Xavier",2.51674398393349
13,"Auburn",2.41210583043267
14,"Ohio_St",2.39942417408749
15,"Michigan",2.21418199355613
16,"Wichita_St",2.20669881968062
17,"Tennessee",2.20024978779923
18,"Butler",2.18648274193959
19,"TCU",2.17987516286574
20,"Penn_St",2.16798860396766
21,"Florida",2.14464641264507
22,"Florida_St",2.11255739931531
23,"Nevada",2.10067579890351
24,"Clemson",2.10042373823288
25,"Texas_A&M",2.08049301720415
26,"Houston",2.06085673701011
27,"Arizona",2.05303426097065
28,"Arizona_St",2.03375068517149
29,"Kentucky",2.02046076175899
30,"Maryland",1.99971484666761
31,"Arkansas",1.99616469428031
32,"Creighton",1.99398782390788
33,"Baylor",1.98925103618575
34,"St_Mary's_CA",1.9887801103656
35,"Louisville",1.98814847708704
36,"Texas",1.98762097791377
37,"Oklahoma",1.98217488658383
38,"Notre_Dame",1.95705174940362
39,"Alabama",1.93098230048482
40,"Seton_Hall",1.92668464707695
41,"Virginia_Tech",1.92549944499512
42,"Missouri",1.87598303863834
43,"NC_State",1.80844380366883
44,"Miami_FL",1.80770497977266
45,"Kansas_St",1.80064846266949
46,"USC",1.78081158107902
47,"Syracuse",1.75390476197337
48,"UCLA",1.75318865235349
49,"Nebraska",1.74783156360898
50,"Marquette",1.73567861589894
51,"Rhode_Island",1.70811316270938
52,"Providence",1.66015083195627
53,"Oklahoma_St",1.63892228375224
54,"Mississippi_St",1.62890488957257
55,"Indiana",1.62013884877698
56,"St_John's",1.59172449063253
57,"Oregon",1.58414988513547
58,"Wisconsin",1.58174338248212
59,"Georgia",1.5611671537868
60,"Boise_St",1.56095078268018
61,"LSU",1.548572574227
62,"SMU",1.53527187371009
63,"Utah",1.53307374037378
64,"Boston_College",1.50804702197052
65,"Northwestern",1.50565985592159
66,"WKU",1.49568056597057
67,"BYU",1.47396549417889
68,"Vanderbilt",1.45562008200531
69,"MTSU",1.45535794259839
70,"Wake_Forest",1.445933437481
71,"UNLV",1.44587968012012
72,"Iowa_St",1.43531826949298
73,"South_Carolina",1.43041542244273
74,"Temple",1.43019081357858
75,"Old_Dominion",1.42835658009461
76,"St_Bonaventure",1.39364665892277
77,"Iowa",1.38898541884703
78,"Loyola-Chicago",1.38305107354678
79,"San_Diego_St",1.37982069145855
80,"Davidson",1.37833903201492
81,"Minnesota",1.37149790188209
82,"Stanford",1.36645195279931
83,"Illinois",1.3630388474526
84,"Fresno_St",1.35827121381564
85,"Washington",1.34940280927903
86,"Mississippi",1.33985643497929
87,"Belmont",1.32166583460384
88,"New_Mexico_St",1.30733046830043
89,"ULL",1.28436739124527
90,"Georgetown",1.26952349053582
91,"Rutgers",1.26745469651704
92,"Oregon_St",1.25866522343168
93,"South_Dakota",1.25857087366194
94,"DePaul",1.24474661393363
95,"Georgia_Tech",1.23241791918164
96,"Colorado",1.23176678633024
97,"Vermont",1.21952962865084
98,"UCF",1.21932711760813
99,"Buffalo",1.18327034542835
100,"Murray_St",1.18151649579423
